"","x"
"1",4.22310210698605
"2",4.19031573948191
"3",4.08744982387263
"4",4.08546232938337
"5",4.31060536956159
"6",4.21605121723375
"7",4.21376242045438
"8",4.46328227996642
"9",4.53315361622651
"10",4.41667805584289
"11",4.31090571264915
"12",4.29608629806541
"13",3.6688594103117
"14",4.38199765271942
"15",3.83250785035741
"16",3.72273206502688
"17",3.75107239594689
"18",3.80655994223121
"19",3.80092304012635
"20",3.77240492949891
"21",3.78881233250492
"22",3.66854647857075
"23",3.46610144646044
"24",3.74401295717083
"25",4.08579344622327
"26",3.93484650608352
"27",3.76281673566217
"28",3.64837516414191
"29",3.68883200236457
"30",3.71125579934036
"31",3.71914410507221
"32",3.58330268734999
"33",3.53743443477256
"34",3.48509847749007
"35",3.33034672343511
"36",3.44462680293118
"37",3.73026021531086
"38",3.62837478416282
"39",3.45186438536006
"40",3.39646611740903
"41",3.35788583755981
"42",3.49518102093158
"43",3.48138984816596
"44",3.43950050865142
"45",3.41083698573695
"46",3.44101138724292
"47",3.50872413088017
"48",3.63157852646058
"49",3.66736549288098
"50",3.55491177235351
"51",4.68538192802293
"52",4.48454354195915
"53",4.4736227752215
"54",4.50038842997308
"55",3.0222347690964
"56",3.03220582895281
"57",3.15564870571957
"58",3.23810519219807
"59",3.70380144979366
"60",3.66552032164412
"61",3.70392657357336
"62",3.77382159819353
"63",3.80932888336458
"64",3.81476630546727
"65",3.66357443756226
"66",3.50985897530703
"67",3.4443214159073
"68",3.41112531276184
"69",3.26230047611144
"70",3.18694693037037
"71",3.29256245559615
"72",3.3778367241172
"73",3.38987754843398
"74",3.35429954712914
"75",3.33148650816499
"76",3.35696144671113
"77",3.50270248742748
"78",3.55372946453626
"79",3.43898332853594
"80",3.49988662787184
"81",3.47081507375239
"82",3.48858386631526
"83",3.5159622793457
"84",3.42870812153803
"85",3.33588486952424
"86",3.24569179603299
"87",3.3455189601268
"88",3.36786920825989
"89",3.27970228998741
"90",3.23544125610843
"91",3.20779812681011
"92",2.99248841940629
"93",3.08635928262848
"94",3.06741331593422
"95",3.89413300199967
"96",3.83544923646641
"97",4.0598652529288
"98",2.45525724795095
"99",2.72317007718625
"100",2.90342094862323
"101",2.8593960664747
"102",2.90304183833586
"103",3.01983433397627
"104",2.97699784002656
"105",3.54752434979268
"106",3.09597950245719
"107",3.09145137811669
"108",3.18309796810022
"109",3.27522637880509
"110",3.27376756446802
"111",3.24212949111033
"112",3.22461703422894
"113",3.29639498245481
"114",3.96490221708806
"115",3.46716035108641
"116",3.46562563980968
"117",4.03413869604859
"118",4.00425555737826
"119",3.94156878199361
"120",4.03773041734418
"121",4.08741390524656
"122",4.08521529995966
"123",4.04877663936945
"124",4.0794423892958
"125",4.13683027684853
"126",4.18292566111962
"127",4.17150651418822
"128",3.56847718640784
"129",3.53618011463182
"130",3.54052271530868
"131",3.63871643151967
"132",3.7671177995549
"133",4.24392151109331
"134",3.66766504693876
"135",3.81095977239034
"136",4.49389807693851
"137",3.85095518574673
"138",3.84718059955604
"139",3.87911041956887
"140",3.74331921387746
"141",3.56227806094168
"142",4.23845698409724
"143",4.54699535868153
"144",4.59759738539224
"145",4.54094087797914
"146",4.47317926925628
"147",4.35391397183353
"148",4.49668057258293
"149",4.37869836775393
"150",4.24063707968469
"151",4.23442576116338
"152",4.43945602825
"153",4.38022898961671
"154",4.21625970330613
"155",4.36866887659854
"156",4.5123888843197
"157",4.54726655397347
"158",4.69539574511745
"159",4.69387930357721
"160",4.76278959583564
"161",4.72132807154978
"162",4.75486066542134
"163",4.70795020548701
"164",4.69191969041108
"165",4.74835732471265
"166",4.76265475544606
"167",4.78415538717584
"168",4.83979197792111
"169",4.89072954435027
"170",4.79688712740479
"171",4.50410023707293
"172",4.1520018922946
"173",4.21258931306235
"174",4.41715900847447
"175",4.45986045499026
"176",4.53313341742377
"177",4.55311424498241
"178",4.57215312999211
"179",4.5654161673095
"180",4.4941259326655
"181",4.48715959011897
"182",4.4678330278743
"183",4.42677704286357
"184",4.34003790470278
"185",4.22127599711907
"186",4.29450475791954
"187",4.22971942352131
"188",4.14875028746513
"189",4.18599489096156
"190",4.07595259411849
"191",4.22205003850097
"192",4.38523247173467
"193",4.42338570776191
"194",3.8735560264566
"195",4.48765400782879
"196",4.37477997921954
"197",4.29349165914456
"198",4.33525358496397
"199",3.83462597001309
"200",3.8427332156719
"201",3.78498090567789
"202",3.86200563968355
"203",3.89985179908157
"204",3.87084040895469
"205",3.84663315190921
"206",3.79741763932679
"207",3.78228546850762
